,id,songName,albumName,albumID,explicit,releaseDate,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumental,liveness,valence,tempo,duration_ms,time_signature
105,5rJ7bdPmr8nfmm2JQ8xHOz,POP!,IM NAYEON,7yePounUspaQfanDsw6nI0,False,2022-06-24,0.793,0.859,2,-2.998,1,0.0544,0.0356,0.0,0.0343,0.392,97.001,168107,4
106,0skYUMpS0AcbpjcGsAbRGj,Pink Venom,Pink Venom,3dZBZnDa3z20uEVnxR38M1,False,2022-08-19,0.798,0.697,0,-7.139,1,0.0891,0.0202,0.0,0.259,0.745,90.031,186964,4
107,69CrOS7vEHIrhC2ILyEi0s,FLOWER,ME,4QuczuzDZNzCDli5Gz6DQ0,False,2023-03-31,0.841,0.384,9,-7.684,0,0.0351,0.0236,2.28e-06,0.0735,0.597,123.961,173134,4
108,3Ua0m0YmEjrMi9XErKcNiR,Like Crazy,FACE,4xc3Lc9yASZgEJGH7acWMB,False,2023-03-24,0.629,0.733,7,-5.445,1,0.0419,0.0025,0.0,0.357,0.362,120.001,212241,4
109,4uOBL4DDWWVx4RhYKlPbPC,Queencard,I feel,3PQZnr5gf699uYEaGH93uG,False,2023-05-15,0.815,0.834,4,-2.828,0,0.0475,0.0327,0.000268,0.27,0.692,129.989,161240,4
110,51vRumtqbkNW9wrKfESwfu,UNFORGIVEN (feat. Nile Rodgers),UNFORGIVEN,4Oz7K9DRwwGMN49i4NbVDT,False,2023-05-01,0.795,0.875,4,-4.079,0,0.0525,0.111,8.94e-05,0.107,0.375,104.008,182149,4
111,1ULdASrNy5rurl1TZfFaMP,Spicy,MY WORLD - The 3rd Mini Album,69xF8jTd0c4Zoo7DT3Rwrn,False,2023-05-08,0.757,0.898,11,-1.247,0,0.0667,0.0138,0.0,0.0703,0.842,114.949,197040,4
112,2pIUpMhHL6L9Z5lnKxJJr9,Attention,NewJeans 1st EP 'New Jeans',1HMLpmZAnNyl9pxvOnTovV,False,2022-08-01,0.811,0.648,10,-3.684,0,0.0368,0.236,0.0,0.0761,0.695,104.988,180067,4
113,70t7Q6AYG6ZgTYmJWcnkUM,I AM,I've IVE,38VzP4yWfHdHafITKKRHEB,False,2023-04-10,0.683,0.875,4,-4.866,0,0.0549,0.0115,0.0,0.084,0.384,122.002,183853,4
114,3AOf6YEpxQ894FmrwI9k96,Super,SEVENTEEN 10th Mini Album 'FML',1JBzeeCJ3axQMVkqWbKh0I,False,2023-04-24,0.771,0.88,8,-4.091,1,0.0857,0.162,1.41e-06,0.167,0.347,137.018,200387,4
115,3gTQwwDNJ42CCLo3Sf4JDd,S-Class,5-STAR,3Pel3gWsPxVpZVrciU0Fm6,False,2023-06-02,0.886,0.781,5,-1.837,0,0.333,0.0895,0.0,0.0715,0.672,104.996,195689,4
116,7mpdNiaQvygj2rHoxkzMfa,Bite Me,DARK BLOOD,7q65W5gVANjh1j1KXLeU0f,False,2023-05-22,0.795,0.781,1,-4.647,1,0.141,0.285,0.0,0.108,0.687,104.972,157532,4
117,7x9aauaA9cu6tyfpHnqDLo,Seven (feat. Latto) (Explicit Ver.),Seven (feat. Latto),53985D8g3JcGBoULSOYYKX,True,2023-07-14,0.802,0.832,11,-4.107,1,0.0434,0.311,0.0,0.0815,0.89,124.997,185427,4
118,5sdQOyqq2IDhvmx2lHOpwd,Super Shy,NewJeans 'Super Shy',5V729UqvhwNOcMejx0m55I,False,2023-07-07,0.776,0.817,5,-6.018,0,0.0748,0.18,3.44e-05,0.146,0.515,149.921,154667,4
119,74X2u8JMVooG2QbjRxXwR8,Perfect Night,Perfect Night,6Msc3BwzKZ5f5FXmKuUSu6,False,2023-10-27,0.697,0.82,5,-4.502,1,0.0308,0.1,0.0,0.0631,0.502,136.054,159080,4
120,6gcuJpHu0Ey30D5WR76y98,You & Me,JENNIE Special Single [You & Me],1Vzh3fTdh0R0evafCcpNpL,False,2023-10-06,0.787,0.573,9,-6.197,1,0.0606,0.0147,1.72e-05,0.0926,0.575,111.996,179164,4
121,3VBj0lzjmhTzVFPEDOjNCG,BATTER UP,BABYMONSTER Debut Digital Single [BATTER UP],2CSQuvvt3XHLDX36O3nRv7,False,2023-11-27,0.903,0.685,11,-4.772,0,0.105,0.069,1.12e-05,0.127,0.873,130.01,188180,4
122,3k6q0O9JnO2GhvD6C8fs20,Closer Than This,Closer Than This,3auDI7RSdoJr99qMNXimP4,False,2023-12-22,0.716,0.54,0,-5.951,1,0.0381,0.389,0.0,0.0692,0.373,87.963,223302,4
123,5XWlyfo0kZ8LF7VSyfS4Ew,Drama,Drama - The 4th Mini Album,5NMtxQJy4wq3mpo3ERVnLs,False,2023-11-10,0.644,0.872,6,-1.54,0,0.0417,0.164,0.0,0.363,0.378,131.016,214973,4
124,2KoeSRTm9cRulYnkaEyUaP,Crazy Form,THE WORLD EP.FIN : WILL,1r0F1EzzNOaJyB7U0Jp5RH,False,2023-12-01,0.83,0.791,5,-5.185,0,0.049,0.027,0.0,0.343,0.466,119.024,198366,4
